tmdb_id,title,popularity,vote_average,vote_count,budget,revenue,release_date,genres,Sentiment
285,Pirates of the Caribbean: At World's End,139.082615,6.9,4500,300000000,961000000,5/19/2007,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",-0.22
206647,Spectre,107.376788,6.3,4466,245000000,880674609,10/26/2015,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",0.59
49026,The Dark Knight Rises,112.31295,7.6,9106,250000000,1084939099,7/16/2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",0.88
49529,John Carter,43.926995,6.1,2124,260000000,284139100,3/7/2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",0.87
559,Spider-Man 3,115.699814,5.9,3576,258000000,890871626,5/1/2007,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",0.77
38757,Tangled,48.681969,7.4,3330,260000000,591794936,11/24/2010,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",0.08
99861,Avengers: Age of Ultron,134.279229,7.3,6767,280000000,1405403694,4/22/2015,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",0.68
767,Harry Potter and the Half-Blood Prince,98.885637,7.4,5293,250000000,933959197,7/7/2009,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",-0.9
209112,Batman v Superman: Dawn of Justice,155.790452,5.7,7004,250000000,873260194,3/23/2016,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",-0.29
1452,Superman Returns,57.925623,5.4,1400,270000000,391081192,6/28/2006,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",0.78
10764,Quantum of Solace,107.928811,6.1,2965,200000000,586090727,10/30/2008,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",0.07
58,Pirates of the Caribbean: Dead Man's Chest,145.847379,7.0,5246,200000000,1065659812,6/20/2006,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",-0.31
57201,The Lone Ranger,49.046956,5.9,2311,255000000,89289910,7/3/2013,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",-0.64
49521,Man of Steel,99.398009,6.5,6359,225000000,662845518,6/12/2013,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",0.88
2454,The Chronicles of Narnia: Prince Caspian,53.978602,6.3,1630,225000000,419651413,5/15/2008,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",-0.66
24428,The Avengers,144.448633,7.4,11776,220000000,1519557910,4/25/2012,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",0.43
1865,Pirates of the Caribbean: On Stranger Tides,135.413856,6.4,4948,380000000,1045713802,5/14/2011,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",0.72
41154,Men in Black 3,52.035179,6.2,4160,225000000,624026776,5/23/2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",-0.29
122917,The Hobbit: The Battle of the Five Armies,120.965743,7.1,4760,250000000,956019788,12/10/2014,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",0.07
1930,The Amazing Spider-Man,89.866276,6.5,6586,215000000,752215857,6/27/2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",-0.19
20662,Robin Hood,37.668301,6.2,1398,200000000,310669540,5/12/2010,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",-0.99
57158,The Hobbit: The Desolation of Smaug,94.370564,7.6,4524,250000000,958400000,12/11/2013,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",0.1
2268,The Golden Compass,42.990906,5.8,1303,180000000,372234864,12/4/2007,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",-0.19
254,King Kong,61.22601,6.6,2337,207000000,550000000,12/14/2005,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",0.16
597,Titanic,100.025899,7.5,7562,200000000,1845034188,11/18/1997,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",0.28
271110,Captain America: Civil War,198.372395,7.1,7241,250000000,1153304495,4/27/2016,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",-0.8
44833,Battleship,64.928382,5.5,2114,209000000,303025485,4/11/2012,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",-0.83
135397,Jurassic World,418.708552,6.5,8662,150000000,1513528810,6/9/2015,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",-0.14
37724,Skyfall,93.004993,6.9,7604,200000000,1108561013,10/25/2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",-0.48
558,Spider-Man 2,35.149586,6.7,4321,200000000,783766341,6/25/2004,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",0.75
68721,Iron Man 3,77.68208,6.8,8806,200000000,1215439994,4/18/2013,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",0.73
12155,Alice in Wonderland,78.530105,6.4,4645,200000000,1025491110,3/3/2010,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",-0.15
36668,X-Men: The Last Stand,3.857526,6.3,3525,210000000,459359555,5/24/2006,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",-0.99
62211,Monsters University,89.186492,7.0,3528,200000000,743559607,6/20/2013,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",0.55
8373,Transformers: Revenge of the Fallen,21.939663,6.0,3138,150000000,836297228,6/19/2009,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",-0.5
91314,Transformers: Age of Extinction,116.840296,5.8,3095,210000000,1091405097,6/25/2014,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",-0.35
68728,Oz: The Great and Powerful,46.985445,5.7,3530,200000000,491868548,3/7/2013,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",0.64
102382,The Amazing Spider-Man 2,89.270217,6.5,4179,200000000,705717432,4/16/2014,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",-0.03
20526,TRON: Legacy,73.79505,6.3,2841,170000000,400062763,12/10/2010,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",0.71
